numero;description
141;"(Pl. 125-129). — *Bacchus adolescent*, grande statuette trouvée à Rome. Ce bronze, de très beau style et d'une allure superbe, représente Bacchus jeune, debout et faisant une libation. Il n'a ni draperie ni chaussures; son regard est fixé sur le vase, un canthare, que tenait sa main droite; son bras gauche levé s'appuyait sur un thyrse. Ces deux attributs, trop fragiles pour résister aux injures du temps, n'existent plus. La tête, qui se tournait légèrement de côté, est couronnée d'une branchette de lierre en fleur; les cheveux retombent en boucles sur les épaules; les yeux sont argentés. Le type de Bacchus jeune, vidant son canthare, passe pour avoir été créé par un artiste d'Alexandrie, au IIIe siècle avant notre ère. Il est connu par les fresques de Pompéi, par de nombreuses médailles de l'époque impériale, quelques marbres et de petites figurines en bronze. Mais le sculpteur de cette statuette avait devant lui une œuvre bien plus ancienne, peu distante de l'époque de Praxitèle. La construction de la poitrine révèle la main d'un grand maître; la nudité du corps, l'absence des sandales ou des endromides et bien d'autres détails nous interdisent d'attribuer l'ouvrage à l'école alexandrine. Il remonte au IVe siècle et va de pair avec les bronzes les plus renommés du Musée de Naples. La statuette a été trouvée, vers 1880, à Rome, via del Babuino, dans les fouilles faites sur l'emplacement actuel ^{}[] BRONZES GRECS ET ROMAINS de l'église anglaise. Pendant quelque temps, elle appartenait à un artiste célèbre, le comte d'Épinay, qui la céda à M. Hoffmann sans avoir osé toucher à l'épaisse patine rugueuse dont elle était recouverte et comme déformée. M. Hoffmann n'eut pas non plus ce courage. En 1888, on retira de l'endroit même d'où le bronze avait été extrait, une panthère incrustée d'argent, qui fut envoyée à Paris, dans la supposition qu'elle aurait formé un groupe avec le Bacchus d'Épinay. En la plaçant à côté de la statuette, je n'eus aucun doute sur la justesse de cette supposition; mais M. Hoffmann se sentit moins convaincu, car la patine des deux bronzes n'était pas absolument pareille. La panthère fut achetée par le baron Edmond de Rothschild et vient d'être publiée dans les Monuments et Mémoires de la Fondation Piot, t. IV, 105 (S. Reinach). Après la vente Hoffmann, M. Dutuit reconnut la nécessité de faire nettoyer le bronze; le travail fut confié au plus habile de nos restaurateurs, M. André, qui s'acquitta merveilleusement de sa tâche. Frøhner, Cat. de la vente Hoffmann (1899), n. 565 (héliogravure, pl. 37). Haut. 0.71. — Une lésion insignifiante à la hanche gauche a été réparée par M. André."
142;"(Pl. 130-131). — Reine d'Égypte en Isis. Grande statuette représentant une reine, de la famille des Ptolémées, avec le costume et les attributs d'Isis. Elle est debout, dans une attitude guerrière, la jambe droite en retrait, le bras droit raidi et tendu horizontalement vers le spectateur. Ce bras est entortillé d'un serpent qui redressait la tête et menaçait de sa langue quiconque résisterait à la déesse-reine. La « nouvelle Isis » porte la couronne d'uræus, le klaft avec la déBRONZES GRECS ET ROMAINS 117 pouille de vautour, une tunique talaire à manches courtes et un manteau. Sur sa poitrine, la tunique forme le « nœud isiaque ». Le bras gauche se replie au coude, en s'avançant; il tenait certainement un sceptre. Les pieds sont nus. Si, dans cette superbe statuette de style égyptien précisé, je vois une reine plutôt qu'une Isis-Victoire, c'est que le type du visage, très beau cependant, n'est pas tout à fait idéal, et rappelle le visage plein et matronal de Bérénice. Du reste, il faudra réviser, au point de vue iconographique, toutes les Isis de l'époque des Ptolémées et toutes les Vénus de Syrie. J'ai vu récemment une Isis assise, en bronze, donnant le sein au petit Horus; elle représente sans doute possible la belle Cléopâtre. Ancienne collection Giovanni di Demetrio, à Ramleh. Le comte Tyszkiewicz aussi, pendant quelques semaines, selon son habitude, a été le propriétaire de cette statuette. Haut. 0.57. — Patine verte rugueuse. — Il ne manque que la tête du serpent."
143;"(Pl. 132). — JUPITER de très ancien style grec, statuette avec signature d'artiste. Le dieu est debout, sans draperie, en posture de combat, le bras droit levé pour lancer le foudre, l'autre tendu en avant. Un aigle perchait sur sa main gauche. C'est un bronze de la fin du VIIe siècle avant notre ère et qu'on peut attribuer avec certitude à une des écoles d'art du Péloponnèse, probablement celle d'Argos. Les détails anatomiques de la poitrine, du dos et du ventre ont été ciselés après la fonte; un semis de points clos en relief indique les cheveux et la barbe; les sourcils sont marqués au moyen de hachures. 118 BRONZES GRECS ET ROMAINS Sur la base, plate et de forme irrégulière, est gravée la signature de l'artiste, en dialecte dorien: Hybrisstas HVBRI DSTX EMOIFFE (m')a fail. L'emploi de l'H ouvert, à la place de l'H fermé, ne fournissant pas de date chronologique irrécusable, nous ne sommes pas forcés d'attribuer le bronze au VIe siècle. Trouvé dans le Peloponnese, à Olympie, sans doute. La statuette rappelle un type monétaire, très connu, employé à Athènes, en Messénie, en Elide et dans deux villes de l'Achaïe: Aegium et Patrae. Quelques petites figurines en bronze, d'ancien style, représentent le même motif: celle de la collection Carapanos, trouvée à Dodone, les bronzes d'Olympie (Ausgrabungen von Olympia, t. V, pl. 27, 2), et une variante publiée au catalogue Hoffmann (1888), n. 451, où le bras droit de Jupiter, armé du foudre, est abaissé. La statue de Jupiter Ithomatas, faite, avant 462, pour les Messéniens, par Hagelaidas d'Argos, doit avoir représenté le même sujet. Mittheilungen des röm. Institutes, t. IV, 138. 339 (K. Wernicke). — Fröhner, Collection Tyszkiiewicz, pl. 21, et Catalogue de la vente Tyszkiiewicz, n. 135 (pl. 14). — Reinach, Répertoire de la statuaire, t. II, 1, n. 2. Haut. 0.165. — Patine vert et noir. — Socle en porphyre."
144;"(Pl. 133). — Hypnos. Le Sommeil est personnifié ici par un bel adolescent nu, avec des ailettes au-dessus des tempes. Debout et comme arrêté dans sa marche, il avance ses deux bras repliés; sa main gauche, ouverte, tenait une patere, et c'est elle BRONZES GRECS ET ROMAINS 119 qu'il regarde; dans l'autre main, il avait probablement un bouquet de pavots pour en exprimer le suc. La figurine se rattache à une sculpture grecque de haute valeur et appartenant, sans nul doute, au IVe siècle. On donne à Praxitèle un Hypnos connu par de nombreuses répliques et qui diffère du nôtre, aussi bien par la pose que par le geste des bras et l'attribut, qui est une corne à boire. Mais une statue de marbre du musée de Karlsruhe (Winnefeld, Hypnos, pl. 1) se rapproche beaucoup du type que nous publions et qui est tout aussi digne du génie de Praxitèle. Trouvé à Arles. — Catalogue de la vente J. de Rémusat (1900), n. 153 (pl. VI). Haut. 0.154. — Patine un peu rugueuse."
145;"(Pl. 134). — Pâtre grec. Vêtu d'une tunique courte et d'une peau de bête, jambes et bras nus, les pieds chaussés d'endromides, il est debout, tenant à sa main gauche l'arrière-train d'un chevreau. Son bras droit se lève, la main ouverte, les doigts écartés; sa tête, aux joues glabres, d'une physionomie étrange, une vraie tête de paysan, se tourne de côté, légèrement renversée en arrière, et sa bouche s'ouvre comme pour crier. Les yeux sont incrustés d'argent. Cette figurine, la plus admirée de l'ancienne collection His de la Salle, est un des chefs-d'œuvre de l'école d'Alexandrie du IIIe siècle, contemporain de la floraison de la poésie pastorale. Catalogue of the collection of... cinque-cento medallions, medals... of the late M. His de la Salle. Londres (Sotheby) 1880, n. 335. — Fræhner, Cat. de la vente Hoffmann (1899), n. 564 (héliogravure, pl. 34). Haut. 0.116. 120 BRONZES GRECS ET ROMAINS"
146;"(Pl. 135). — *Hercule et Télèphe*, décor ajouré d'une lampe de grandes dimensions. Sous un arceau orné de huit fleurons, Hercule est debout, couronné de lierre et de corymbes. Sa main droite s'appuie sur une massue; son bras gauche, chargé d'une peau de lion, porte le petit Télèphe nu, l'enfant d'Hercule et d'Augé, qui avait été abandonné par sa mère sur le mont Parthénion et qu'une biche avait allaité. A côté du groupe, on voit la biche, levant la tête vers son nourrisson. Les colonnes soutenant l'arceau sont d'ordre corinthien, les fleurons sont forés, la base est légèrement échancrée sur le devant. Au revers, il y a un anneau de suspension. Le bronze, trouvé en Sardaigne, a successivement appartenu à Gaëtano Carra, de Cagliari, et à M. Gréau. Frœhner, *Musées de France*, pl. 26; *Bronzes antiques de la Collection Gréau*, pl. 8, et *Cat. de la vente Hoffmann* (1899), n. 526. Haut. 0.27. Larg. 0.172."
147;"(Pl. 136). — *Mercure*. On retrouve dans ce bronze tous les attributs caractéristiques d'un Mercure de la Rome impériale: chapeau ailé, bourse, chlamyde; seul, le caducée lui manque, mais le geste du bras gauche y supplée. Le type remonte d'ailleurs à un très bon original grec du IVe siècle. — Acheté à Rome. Haut. 0.08. — Patine verte luisante. — La main g. est un peu rongée par l'efflorescence (*fioritura*) de la patine. BRONZES GRECS ET ROMAINS 121"
148;(Pl. 136). — Hercule italique. C'est un Hercule jeune, debout, la main droite sur la hanche, la massue à la main gauche, la peau de lion sur l'épaule. — Acheté, il y a une trentaine d'années, chez Barone, à Naples. Haut. 0.088. — Patine luisante, d'un vert olive foncé.
149;(Pl. 137). — Priape. Les bronzes figurant le dieu de Lampsaque sont suffisamment connus par une dissertation d'Otto Jahn (Bonner Jahrbücher 27, page 45), bien que leur nombre ait augmenté depuis dans des proportions inespérées. Debout et faisant face au spectateur, Priape relève de ses deux mains, par devant et jusqu'à la ceinture, son manteau de femme, qui, par derrière, retombe à terre. Le pan de la draperie est rempli de fruits. Les traits du visage ont quelque chose de silénesque, et cette ressemblance avec le Silène est d'autant plus frappante que Priape a une longue barbe inculte. Au sommet de sa tête, les cheveux sont noués en crobyle, comme les cheveux des femmes grecques. Haut. 0.08. — Patine luisante, vert foncé.
150;(Pl. 138). — Acteur comique, assis sur un siège, sur un autel peut-être, la tête penchée mélancoliquement. Le motif n'est pas nouveau (Wieseler, Theatergebäude, pl. XI-XII) et s'est retrouvé plusieurs fois parmi les terres cuites de Tanagra. On possède des statuettes en marbre qui représentent, à quelques détails près, le même personnage. Une des meilleures que j'aie vues se trouve au Musée britannique, découverte à Rome en 1773 dans 122 BRONZES GRECS ET ROMAINS la villa Fonseca (*Marbles* X, 43). L'esclave qui, dans la dernière scène du *Fantôme* de Plaute, s'assied sur un autel pour fuir le châtiment, ressemblait sans doute à ces statuettes. L'acteur porte son masque, une tunique courte, un manteau, et ses jambes sont enveloppées de bandelettes ou de courroies. La figurine a servi de manche de couteau. Haut. 0.05. — Patine vert foncé. ---
